id,value,feed_id,created_at,lat,lon,ele
0EH05BGRS50GWZ7RBRS55QWTM8,17.57175,1431814,2020-08-18 10:16:59 UTC,,,
0EH05BN2QA12FTJY4HHXRGCVGM,17.57175,1431814,2020-08-18 10:17:13 UTC,,,
0EH05BS9XNZ4PHWSZCTAP5395H,17.80264,1431814,2020-08-18 10:17:27 UTC,,,
0EH05BXKM83M74NX71P59CGTCT,17.6872,1431814,2020-08-18 10:17:41 UTC,,,
0EH05C1ZP379V0ZEAHY468B7XA,17.3985,1431814,2020-08-18 10:17:56 UTC,,,
0EH05C68K2G7WGWTMAF4S6SB5J,17.6872,1431814,2020-08-18 10:18:10 UTC,,,
0EH05CAJXCS37FAK2M37ETAAY4,18.09122,1431814,2020-08-18 10:18:24 UTC,,,
0EH05CEXRY0N2G7BCZYJZZNCTQ,17.6872,1431814,2020-08-18 10:18:38 UTC,,,
0EH05CK7M0VZD44VK1SVWS522V,17.48511,1431814,2020-08-18 10:18:52 UTC,,,
0EH05CQKKCX74YHRAVVVH307B3,17.6872,1431814,2020-08-18 10:19:06 UTC,,,
0EH05CW0WNVTBB74S2SNSNG49H,17.80264,1431814,2020-08-18 10:19:21 UTC,,,
0EH05D081G4JS6N29QGMDVRFVA,17.6872,1431814,2020-08-18 10:19:35 UTC,,,
0EH05D4HNS5DBHJPF6T2TGE3M0,17.48511,1431814,2020-08-18 10:19:49 UTC,,,
0EH05D8VJA4KJ50SHY89VS22F4,17.80264,1431814,2020-08-18 10:20:03 UTC,,,
0EH05DD5KVF41P9D2W5X9817HJ,17.57175,1431814,2020-08-18 10:20:17 UTC,,,
0EH05DHG5F47131S49YNBJYF5B,17.91809,1431814,2020-08-18 10:20:31 UTC,,,
0EH05DNSKWN48PVA0Q8517H5J6,17.3985,1431814,2020-08-18 10:20:45 UTC,,,
0EH05DT6WQ0KAPP776VWWGFFKG,17.57175,1431814,2020-08-18 10:21:00 UTC,,,
0EH05DYHP9A1414YJ5YZFW56V7,17.48511,1431814,2020-08-18 10:21:14 UTC,,,
0EH05E2TP887YSK34B5FP8752B,17.48511,1431814,2020-08-18 10:21:28 UTC,,,
0EH05E75JJE0Y5T9ZJ30CHSR42,17.48511,1431814,2020-08-18 10:21:42 UTC,,,
0EH05EBDKBRFKAN563FNC3112Y,17.48511,1431814,2020-08-18 10:21:56 UTC,,,
0EH05EFSVB0FABS8KT5MXJ5H21,17.48511,1431814,2020-08-18 10:22:11 UTC,,,
0EH05EM1XHA2JRN8KRNNKAP7BS,17.48511,1431814,2020-08-18 10:22:25 UTC,,,
0EH05ERENSHJJ5Q5RJ831QZ2QV,17.57175,1431814,2020-08-18 10:22:39 UTC,,,
0EH05EWSG3X2W6VF9K6WRQ6NF1,17.10965,1431814,2020-08-18 10:22:53 UTC,,,
0EH05F116NJ85BFH0JBP03DEJF,17.48511,1431814,2020-08-18 10:23:07 UTC,,,
0EH05F5BKQ3898YAD4JC470CTW,17.22522,1431814,2020-08-18 10:23:21 UTC,,,
0EH05F9S6WMVWZB89GS76TMCN2,17.31186,1431814,2020-08-18 10:23:36 UTC,,,
0EH05FE3G319SVDE2CYVESEJD4,17.3985,1431814,2020-08-18 10:23:50 UTC,,,
0EH05FJBSJXT3XWRJXF1WGMXJ6,17.48511,1431814,2020-08-18 10:24:04 UTC,,,
0EH05FPRHJQ2WSSW0JX17EVYE0,17.31186,1431814,2020-08-18 10:24:18 UTC,,,
0EH05FV2XM79J2E1MCZ17QD6R2,17.3985,1431814,2020-08-18 10:24:32 UTC,,,
0EH05FZ9FP0BCH6C8A5T5CA6EE,17.48511,1431814,2020-08-18 10:24:46 UTC,,,
0EH05G3Q267Q41Q8T6T42J5PXV,17.31186,1431814,2020-08-18 10:25:01 UTC,,,
0EH05G80D8BGMMS17CV1JNR7VB,17.3985,1431814,2020-08-18 10:25:15 UTC,,,
0EH05GC7HR5FNGBV6QFWZ73QKN,17.48511,1431814,2020-08-18 10:25:29 UTC,,,
0EH05GGN2XEHX7YN00KEQ1VCWR,17.3985,1431814,2020-08-18 10:25:43 UTC,,,
0EH05GMZBNY8T7B7X87FNVK3V1,17.22522,1431814,2020-08-18 10:25:57 UTC,,,
0EH05GS7MKTQHSZ6QN5VWMD3X6,17.3985,1431814,2020-08-18 10:26:11 UTC,,,
0EH05GXRS2JT2H7DATJG38N44H,17.3985,1431814,2020-08-18 10:26:26 UTC,,,
0EH05H1YWN8KY7ABQHJY6NN429,17.48511,1431814,2020-08-18 10:26:40 UTC,,,
0EH05H67N7XWPX6F9AT2QAB31F,17.57175,1431814,2020-08-18 10:26:54 UTC,,,
0EH05HAHSXSSYV7T6MY269C7BG,17.3985,1431814,2020-08-18 10:27:08 UTC,,,
0EH05HEXTJDPCRAVTP8Y3G5PQ9,17.3985,1431814,2020-08-18 10:27:22 UTC,,,
0EH05HK5MWEV0XFRYK2WGACMF7,17.31186,1431814,2020-08-18 10:27:36 UTC,,,
0EH05HQGMHN32CT7X1G1PC185Z,17.3985,1431814,2020-08-18 10:27:50 UTC,,,
0EH05HVSVSM0M8EFQ4NJEJX3XS,17.31186,1431814,2020-08-18 10:28:05 UTC,,,
0EH05J03M8TDH656J6PXZPBY0X,17.31186,1431814,2020-08-18 10:28:19 UTC,,,
0EH05J4FYAH44WRZ9M3RPQZWHV,17.31186,1431814,2020-08-18 10:28:33 UTC,,,
0EH05J8VEMAF05TT4ETQV9E8BJ,17.48511,1431814,2020-08-18 10:28:47 UTC,,,
0EH05JD42BEN5PPX6F5DHPKB8B,17.31186,1431814,2020-08-18 10:29:01 UTC,,,
0EH05JHE2J061X7HR75K06DRA1,17.3985,1431814,2020-08-18 10:29:15 UTC,,,
0EH05JNR0Y66K8GQ0C8WW9Y22N,17.10965,1431814,2020-08-18 10:29:30 UTC,,,
0EH05JT1WX652VK4VYKJT6QGGM,17.10965,1431814,2020-08-18 10:29:44 UTC,,,
